cap-shape;cap-surface;cap-color;bruises;odor;gill-attachment;gill-spacing;gill-size;gill-color;stalk-shape;stalk-root;stalk-surface-above-ring;stalk-surface-below-ring;stalk-color-above-ring;stalk-color-below-ring;veil-type;veil-color;ring-number;ring-type;spore-print-color;population;habitat
b;y;n;f;a;f;w;b;w;e;r;s;s;w;w;p;w;o;e;n;v;g
x;s;n;t;p;f;c;n;k;e;e;s;s;w;w;p;w;o;p;k;s;u
x;s;y;t;a;f;c;b;k;e;c;s;s;w;w;p;w;o;p;n;n;g
b;s;w;t;l;f;c;b;n;e;c;s;s;w;w;p;w;o;p;n;n;m
x;y;w;t;p;f;c;n;n;e;e;s;s;w;w;p;w;o;p;k;s;u
x;s;g;f;n;f;w;b;k;t;e;s;s;w;w;p;w;o;e;n;a;g
x;y;y;t;a;f;c;b;n;e;c;s;s;w;w;p;w;o;p;k;n;g
b;s;w;t;a;f;c;b;g;e;c;s;s;w;w;p;w;o;p;k;n;m
b;y;w;t;l;f;c;b;n;e;c;s;s;w;w;p;w;o;p;n;s;m
x;y;w;t;p;f;c;n;p;e;e;s;s;w;w;p;w;o;p;k;v;g
b;s;y;t;a;f;c;b;g;e;c;s;s;w;w;p;w;o;p;k;s;m
x;y;y;t;l;f;c;b;g;e;c;s;s;w;w;p;w;o;p;n;n;g
x;y;y;t;a;f;c;b;n;e;c;s;s;w;w;p;w;o;p;k;s;m
b;s;y;t;a;f;c;b;w;e;c;s;s;w;w;p;w;o;p;n;s;g
x;y;w;t;p;f;c;n;k;e;e;s;s;w;w;p;w;o;p;n;v;u
x;f;n;f;n;f;w;b;n;t;e;s;f;w;w;p;w;o;e;k;a;g
s;f;g;f;n;f;c;n;k;e;e;s;s;w;w;p;w;o;p;n;y;u
f;f;w;f;n;f;w;b;k;t;e;s;s;w;w;p;w;o;e;n;a;g
x;s;n;t;p;f;c;n;n;e;e;s;s;w;w;p;w;o;p;k;s;g
x;y;w;t;p;f;c;n;n;e;e;s;s;w;w;p;w;o;p;n;s;u
x;s;n;t;p;f;c;n;k;e;e;s;s;w;w;p;w;o;p;n;s;u
b;s;y;t;a;f;c;b;k;e;c;s;s;w;w;p;w;o;p;n;s;m
x;y;n;t;p;f;c;n;n;e;e;s;s;w;w;p;w;o;p;n;v;g
b;y;y;t;l;f;c;b;k;e;c;s;s;w;w;p;w;o;p;n;s;m
b;y;w;t;a;f;c;b;w;e;c;s;s;w;w;p;w;o;p;n;n;m
b;s;w;t;l;f;c;b;g;e;c;s;s;w;w;p;w;o;p;k;s;m
f;s;w;t;p;f;c;n;n;e;e;s;s;w;w;p;w;o;p;n;v;g
x;y;y;t;a;f;c;b;n;e;c;s;s;w;w;p;w;o;p;n;n;m
x;y;w;t;l;f;c;b;w;e;c;s;s;w;w;p;w;o;p;n;n;m
f;f;n;f;n;f;c;n;k;e;e;s;s;w;w;p;w;o;p;k;y;u
x;s;y;t;a;f;w;n;n;t;b;s;s;w;w;p;w;o;p;n;v;d
b;s;y;t;l;f;c;b;g;e;c;s;s;w;w;p;w;o;p;n;n;m
x;y;w;t;p;f;c;n;k;e;e;s;s;w;w;p;w;o;p;n;s;u
x;y;y;t;l;f;c;b;n;e;c;s;s;w;w;p;w;o;p;n;n;m
x;y;n;t;l;f;c;b;p;e;r;s;y;w;w;p;w;o;p;n;y;p
b;y;y;t;l;f;c;b;n;e;c;s;s;w;w;p;w;o;p;n;s;m
x;f;y;t;l;f;w;n;w;t;b;s;s;w;w;p;w;o;p;n;v;d
s;f;g;f;n;f;c;n;k;e;e;s;s;w;w;p;w;o;p;k;v;u
